__anonymous__ - id,__anonymous__ - type,__anonymous__ - geometry - type,__anonymous__ - geometry - coordinates - __anonymous__,__anonymous__ - geometry - coordinates - __anonymous__ - __anonymous__ - __anonymous__,__anonymous__ - properties - @id,__anonymous__ - properties - amenity,__anonymous__ - properties - name,__anonymous__ - properties - atm,__anonymous__ - properties - addr:housenumber,__anonymous__ - properties - building,__anonymous__ - properties - addr:street,__anonymous__ - properties - operator,__anonymous__ - properties - addr:city,__anonymous__ - properties - addr:postcode,__anonymous__ - properties - addr:country,__anonymous__ - properties - drive_through,__anonymous__ - properties - addr:housename
,,,,-1.4321271,,,,,,,,,,,,,
,,,,50.9214274,,,,,,,,,,,,,
,,,,-1.4320125,,,,,,,,,,,,,
,,,,50.9214857,,,,,,,,,,,,,
,,,,-1.43205,,,,,,,,,,,,,
,,,,50.9215073,,,,,,,,,,,,,
,,,,-1.4320098,,,,,,,,,,,,,
,,,,50.9215348,,,,,,,,,,,,,
,,,,-1.4320272,,,,,,,,,,,,,
,,,,50.9215441,,,,,,,,,,,,,
,,,,-1.4319414,,,,,,,,,,,,,
,,,,50.9216172,,,,,,,,,,,,,
,,,,-1.4319897,,,,,,,,,,,,,
,,,,50.9216392,,,,,,,,,,,,,
way/183876041,Feature,Polygon,,-1.4317657,way/183876041,bank,Santander,yes,1,shopping,,,,,,,
,,,,50.9211446,,,,,,,,,,,,,
,,,,-1.4317382,,,,,,,,,,,,,
,,,,50.9211581,,,,,,,,,,,,,
,,,,-1.4317235,,,,,,,,,,,,,
,,,,50.921159,,,,,,,,,,,,,
,,,,-1.431529,,,,,,,,,,,,,
,,,,50.92132,,,,,,,,,,,,,
,,,,-1.4315739,,,,,,,,,,,,,
,,,,50.9213522,,,,,,,,,,,,,
,,,,-1.4318522,,,,,,,,,,,,,
,,,,50.9212127,,,,,,,,,,,,,
,,,,-1.4317657,,,,,,,,,,,,,
,,,,50.9211446,,,,,,,,,,,,,
way/184056162,Feature,Polygon,,-1.4338699,way/184056162,bank,Lloyds TSB,yes,77-79,shopping,,,,,,,
,,,,50.923046,,,,,,,,,,,,,
,,,,-1.4338886,,,,,,,,,,,,,
,,,,50.9230253,,,,,,,,,,,,,
,,,,-1.4339389,,,,,,,,,,,,,
,,,,50.9230456,,,,,,,,,,,,,
,,,,-1.433959,,,,,,,,,,,,,
,,,,50.9230228,,,,,,,,,,,,,
,,,,-1.4340254,,,,,,,,,,,,,
,,,,50.9230524,,,,,,,,,,,,,
,,,,-1.434128,,,,,,,,,,,,,
,,,,50.9229623,,,,,,,,,,,,,
,,,,-1.4339952,,,,,,,,,,,,,
,,,,50.9228757,,,,,,,,,,,,,
,,,,-1.4339617,,,,,,,,,,,,,
,,,,50.9228816,,,,,,,,,,,,,
,,,,-1.4339155,,,,,,,,,,,,,
,,,,50.9229277,,,,,,,,,,,,,
,,,,-1.4339,,,,,,,,,,,,,
,,,,50.9229277,,,,,,,,,,,,,
,,,,-1.4338028,,,,,,,,,,,,,
,,,,50.9230215,,,,,,,,,,,,,
,,,,-1.4338699,,,,,,,,,,,,,
,,,,50.923046,,,,,,,,,,,,,
way/184143333,Feature,Polygon,,-1.4312154,way/184143333,bank,Halifax,yes,5-7,shopping,Gordon Buildings,,Southampton,,,,
,,,,50.9210382,,,,,,,,,,,,,
,,,,-1.4312394,,,,,,,,,,,,,
,,,,50.9210503,,,,,,,,,,,,,
,,,,-1.4314347,,,,,,,,,,,,,
,,,,50.9208962,,,,,,,,,,,,,
,,,,-1.4312885,,,,,,,,,,,,,
,,,,50.9207753,,,,,,,,,,,,,
,,,,-1.4312818,,,,,,,,,,,,,
,,,,50.9207706,,,,,,,,,,,,,
,,,,-1.431267,,,,,,,,,,,,,
,,,,50.9207694,,,,,,,,,,,,,
,,,,-1.4312577,,,,,,,,,,,,,
,,,,50.9207694,,,,,,,,,,,,,
,,,,-1.4312516,,,,,,,,,,,,,
,,,,50.9207727,,,,,,,,,,,,,
,,,,-1.4311324,,,,,,,,,,,,,
,,,,50.9208647,,,,,,,,,,,,,
,,,,-1.4311597,,,,,,,,,,,,,
,,,,50.9208822,,,,,,,,,,,,,
,,,,-1.4311775,,,,,,,,,,,,,
,,,,50.9208697,,,,,,,,,,,,,
,,,,-1.4312915,,,,,,,,,,,,,
,,,,50.9209352,,,,,,,,,,,,,
,,,,-1.4311808,,,,,,,,,,,,,
,,,,50.9210198,,,,,,,,,,,,,
,,,,-1.4312154,,,,,,,,,,,,,
,,,,50.9210382,,,,,,,,,,,,,
way/190362741,Feature,Polygon,,-1.4040255,way/190362741,bank,HSBC,,24,yes,London Road,,Southampton,SO15 2UZ,GB,,
,,,,50.911236,,,,,,,,,,,,,
,,,,-1.4042425,,,,,,,,,,,,,
,,,,50.9113157,,,,,,,,,,,,,
,,,,-1.4043222,,,,,,,,,,,,,
,,,,50.9112325,,,,,,,,,,,,,
,,,,-1.4041126,,,,,,,,,,,,,
,,,,50.9111625,,,,,,,,,,,,,
,,,,-1.4040804,,,,,,,,,,,,,
,,,,50.9111752,,,,,,,,,,,,,
,,,,-1.4040255,,,,,,,,,,,,,
,,,,50.911236,,,,,,,,,,,,,
way/358519855,Feature,Polygon,,-1.40422,way/358519855,bank,Lloyds Bank Plc,,92-94,yes,Above Bar Street,,Southampton,SO147DT,,,Lloyds Bank Plc
,,,,50.9055748,,,,,,,,,,,,,
,,,,-1.4042048,,,,,,,,,,,,,
,,,,50.9054651,,,,,,,,,,,,,
,,,,-1.4041117,,,,,,,,,,,,,
,,,,50.9054716,,,,,,,,,,,,,
,,,,-1.4041295,,,,,,,,,,,,,
,,,,50.9055799,,,,,,,,,,,,,
,,,,-1.40422,,,,,,,,,,,,,
,,,,50.9055748,,,,,,,,,,,,,
way/361767151,Feature,Polygon,,-1.4045187,way/361767151,bank,Barclays,yes,67B,yes,Above Bar Street,,Southampton,SO14 7DZ,,,Barclays
,,,,50.9049975,,,,,,,,,,,,,
,,,,-1.4046702,,,,,,,,,,,,,
,,,,50.9049882,,,,,,,,,,,,,
,,,,-1.4046618,,,,,,,,,,,,,
,,,,50.9049312,,,,,,,,,,,,,
,,,,-1.4045096,,,,,,,,,,,,,
,,,,50.9049404,,,,,,,,,,,,,
,,,,-1.4045187,,,,,,,,,,,,,
,,,,50.9049975,,,,,,,,,,,,,
node/282715828,Feature,Point,-1.3788669,,node/282715828,bank,Lloyds TSB,yes,,,,Lloyds TSB,,,,,
,,,50.897906,,,,,,,,,,,,,,
node/612492014,Feature,Point,-1.4045096,,node/612492014,bank,Halifax,,,,,,,,,,
,,,50.9046027,,,,,,,,,,,,,,
node/612526466,Feature,Point,-1.4036677,,node/612526466,bank,Natwest,yes,,,,,,,,,
,,,50.9016882,,,,,,,,,,,,,,
node/612526480,Feature,Point,-1.4045257,,node/612526480,bank,Co-operative Bank,yes,,,,,,,,,
,,,50.9044852,,,,,,,,,,,,,,
node/612526484,Feature,Point,-1.404071,,node/612526484,bank,Nationwide,yes,,,,,,,,,
,,,50.9050239,,,,,,,,,,,,,,
node/612526490,Feature,Point,-1.4041515,,node/612526490,bank,Lloyds TSB,yes,,,,,,,,,
,,,50.9055635,,,,,,,,,,,,,,
node/638908820,Feature,Point,-1.3800853,,node/638908820,bank,NatWest,,,,,NatWest,,,,,
,,,50.8980094,,,,,,,,,,,,,,
node/671767311,Feature,Point,-1.4298531,,node/671767311,bank,HSBC,yes,,,,,,,,,
,,,50.9197989,,,,,,,,,,,,,,
node/671767318,Feature,Point,-1.4308502,,node/671767318,bank,Barclays,yes,,,,Barclays Bank PLC,,,,,
,,,50.9205476,,,,,,,,,,,,,,
node/671767329,Feature,Point,-1.4353914,,node/671767329,bank,,yes,,,,Natwest,,,,,
,,,50.9240191,,,,,,,,,,,,,,
node/1555748601,Feature,Point,-1.4037236,,node/1555748601,bank,Lloyds TSB,yes,,,,,,,,,
,,,50.912373,,,,,,,,,,,,,,
node/1555748622,Feature,Point,-1.4042813,,node/1555748622,bank,HSBC,yes,,,,,,,,,
,,,50.9113043,,,,,,,,,,,,,,
node/1592774826,Feature,Point,-1.4041287,,node/1592774826,bank,Chelsea Building Society,,,,,,,,,,
,,,50.90527,,,,,,,,,,,,,,
node/1592803897,Feature,Point,-1.4045472,,node/1592803897,bank,Santander,yes,,,,,,,,,
,,,50.9043194,,,,,,,,,,,,,,
node/1805475732,Feature,Point,-1.390987,,node/1805475732,atm,,,,,,LloydsTSB,,,,,
,,,50.927104,,,,,,,,,,,,,,
node/2161913433,Feature,Point,-1.361334,,node/2161913433,bank,Barclays,,,,,Barclays Bank PLC,,,,,
,,,50.9148968,,,,,,,,,,,,,,
node/2161913452,Feature,Point,-1.3601189,,node/2161913452,bank,Natwest,,,,,,,,,,
,,,50.9143769,,,,,,,,,,,,,,
node/2161913486,Feature,Point,-1.3595596,,node/2161913486,bank,Santander,,,,,,,,,,
,,,50.9144411,,,,,,,,,,,,,,
node/2161913518,Feature,Point,-1.3596052,,node/2161913518,bank,Lloyds TSB,,,,,,,,,,
,,,50.9146813,,,,,,,,,,,,,,
node/2161913533,Feature,Point,-1.3619347,,node/2161913533,bank,HSBC,,,,,,,,,,
,,,50.914349,,,,,,,,,,,,,,
node/3529136574,Feature,Point,-1.3979033,,node/3529136574,bank,Barclays,yes,106,,Burgess Road,,Southampton,SO17 1TW,,,
,,,50.9377444,,,,,,,,,,,,,,
node/3529147909,Feature,Point,-1.3978845,,node/3529147909,bank,Santander,yes,108,,Burgess Road,,Southampton,SO17 1TW,,,
,,,50.937697,,,,,,,,,,,,,,
node/3529147910,Feature,Point,-1.3978577,,node/3529147910,bank,Lloyds Bank,,110,,Burgess Road,,Southampton,SO17 1TW,,,
,,,50.9376565,,,,,,,,,,,,,,
node/3592483209,Feature,Point,-1.4042531,,node/3592483209,bank,TSB,,,,,,,,,,
,,,50.901186,,,,,,,,,,,,,,
